カテゴリ名,課題名,問題,正解
ネットワーク基礎問題集,第1章　ネットワーク概論,ネットワークでサービスを要求するコンピュータをなんと呼ぶでしょうか？,クライアント
ネットワーク基礎問題集,第1章　ネットワーク概論,"異なるネットワークを相互に接続する機械をなんと呼ぶでしょうか？
ヒント：家庭内のネットワークでも最近は使われるようになっています。）",ルータ;ルーター
ネットワーク基礎問題集,第1章　ネットワーク概論,ネットワークでサービスを提供するコンピュータをなんと呼ぶでしょうか？,サーバ;サーバー
ネットワーク基礎問題集,第1章　ネットワーク概論,"事業所やビルの中など、狭いネットワークはなんと呼ぶでしょうか？
（ヒント：家庭内のネットワークもこのように呼びます。）",LAN
ネットワーク基礎問題集,第1章　ネットワーク概論,物理的にコンピュータとネットワークを接続するケーブルをなんと呼ぶでしょうか？,LANケーブル
ネットワーク基礎問題集,第1章　ネットワーク概論,"コンピュータをネットワークに接続するために必要な拡張ボードをなんと呼ぶでしょうか？
（ヒント：最近では、パソコンに内蔵されています。）",NIC
ネットワーク基礎問題集,第1章　ネットワーク概論,距離の離れたネットワーク同士を結ぶ、ネットワークをなんと呼ぶでしょうか？,WAN
ネットワーク基礎問題集,第1章　ネットワーク概論,物理的にコンピュータとネットワークを接続するケーブルの集線装置で、複数のコンピュータをネットワークに接続する機械をなんと呼ぶでしょうか？,ハブ
ネットワーク基礎問題集,第1章　ネットワーク概論,"コンピュータのネットワーク上のアドレスをなんと呼ぶでしょうか？
（ヒント：○○アドレス）",IPアドレス
ネットワーク基礎問題集,第2章　OSI参照モデル編,"以下の空白を埋めてください。（解答は上から順に入力してください。）
[OSI参照モデル]
第七層：（　　　）
第六層：（プレゼンテーション層）
第五層：（セッション層）
第四層：（　　　）
第三層：（　　　）
第二層：（データリンク層）
第一層：（　　　）",アプリケーション層、トランスポート層、ネットワーク層、物理層;応用層、トランスポート層、ネットワーク層、物理層
ネットワーク基礎問題集,第2章　OSI参照モデル編,TCP（Trasmission Control Protocol）はOSI参照モデルで第何層でしょうか？,第4層
ネットワーク基礎問題集,第2章　OSI参照モデル編,"ネットワークを通じてコンピュータ同士がやりとりするための約束事をなんと呼ぶでしょうか？
（ヒント：ネットワーク○○○○○）",ネットワークプロトコル
ネットワーク基礎問題集,第2章　OSI参照モデル編,"IPの役割はネットワーク機器に対して○○○○を割り当て、△△△△を送ることです。○○○○と△△△△に当てはまる語句はなんでしょう？
（ヒント：○○○○は日本語で住所、△△△△は携帯のメールなどの使い放題のサービスでよく見る名称）",アドレス、パケット
ネットワーク基礎問題集,第2章　OSI参照モデル編,"TCPの役割はIPで送られた△△△△（問い4．の△△△△と同じ）を保証するための機能があります。受け取った側が送った側に受け取ったと返事を返すことで実現しているのですが、送信側の受け取ったという返事をなんと呼ぶでしょうか？
（ヒント：○○K）",ACK
ネットワーク基礎問題集,第2章　OSI参照モデル編,IP（Internet Protocol）はOSI参照モデルで第何層でしょうか？,第3層
ネットワーク基礎問題集,第3章　LAN編,LANのように限られた範囲でのみ有効なIPアドレスのことをなんと呼ぶでしょうか？,プライベートIPアドレス
ネットワーク基礎問題集,第3章　LAN編,Windows Serverによってネットワーク上のコンピュータをドメインという単位で集中管理するネットワークのことをなんと呼ぶでしょうか？,ドメインネットワーク
ネットワーク基礎問題集,第3章　LAN編,Bluetoothとは何向けの無線通信技術でしょうか？,携帯情報機器向け
ネットワーク基礎問題集,第3章　LAN編,"コンピュータがどういった形態で接続されるかを示す言葉はなんというでしょうか？
（ヒント：ネットワーク○○○○ー）",ネットワークトポロジー
ネットワーク基礎問題集,第3章　LAN編,Ethernetを使用したLANは何型と呼ばれているでしょうか？,スター型
ネットワーク基礎問題集,第3章　LAN編,Ethernetとは、○○○○/○○方式を用いて通信を行うネットワークの規格です。,CSMA/CD方式
ネットワーク基礎問題集,第3章　LAN編,世界中で一意な値となることが保証されたIPアドレスのことをなんと呼ぶでしょうか？,グローバルIPアドレス
ネットワーク基礎問題集,第3章　LAN編,ケーブルを使用せず、電波などを使って無線で通信するLANのことをなんと呼ぶでしょうか？,無線LAN
ネットワーク基礎問題集,第4章　WAN編,ADSL、ケーブルテレビなどの高速なインターネット常時接続回線の総称をなんと呼ぶでしょうか？,ブロードバンド
ネットワーク基礎問題集,第4章　WAN編,インターネット上に仮想的な専用線空間を作り出して、拠点間を接続したネットワークのことをなんと呼ぶでしょうか？,VPN
ネットワーク基礎問題集,第4章　WAN編,電話網の一部をインターネット経由に置き換えた電話をなんと呼ぶでしょうか？,IP電話
ネットワーク基礎問題集,第4章　WAN編,電話局と加入者宅間に敷設されている銅線をより高速な通信が可能となる光ファイバに置き換え、全家庭に高速な通信環境を構築しようという計画をなんと呼ぶでしょうか？,FTTH
ネットワーク基礎問題集,第4章　WAN編,ADSLはアナログ電話用の銅線を用いて高速なデジタル通信を行います。電話局から加入者宅（下り）と加入者宅から電話局（上り）で速度が違います。上りと下りのどちらが早いでしょうか？,下り
ネットワーク基礎問題集,第4章　WAN編,○○○とは、定額料金を支払うことで2点間を専用の回線で接続することが出来るサービスです。○○○とはなんでしょうか？,専用線
ネットワーク基礎問題集,第4章　WAN編,無線によるインターネット接続サービスを提供している場所のことをなんと呼ぶでしょうか？,ホットスポット
ネットワーク基礎問題集,第4章　WAN編,電話やFAX、データ通信などを総合して扱うことの出来るデジタル通信網の規格をなんと呼ぶでしょうか？,ISDN
ネットワーク基礎問題集,第5章　ハードウェア編,NICごとに割り振られた48bitの固有番号をなんと呼ぶでしょうか？,MACアドレス
ネットワーク基礎問題集,第5章　ハードウェア編,実際に通信が発生したポート間のみを直結し、他のポートに余計なパケットを流さないハブをなんと呼ぶでしょうか？,スイッチングハブ
ネットワーク基礎問題集,第5章　ハードウェア編,LANケーブルを流れる信号を整形して再送出する中継器をなんと呼ぶでしょうか？,リピータ;リピーター
ネットワーク基礎問題集,第5章　ハードウェア編,LANケーブルは使用するネットワークの規格に応じていろいろな種類があります。10BASE-T/100BASE-TXで使用するケーブルはなんと呼ぶでしょうか？,ツイストペアケーブル
ネットワーク基礎問題集,第5章　ハードウェア編,ハブは複数のLANケーブルを接続するための集線装置で、内部的にはリピータを複数束ねたものであるため、別名なんと呼ぶでしょうか？,リピータハブ;マルチポートリピータ;マルチポートリピーター
ネットワーク基礎問題集,第5章　ハードウェア編,ネットワーク上のコンピュータが同時にパケットを送出して生じる「パケットの衝突」をなんと呼ぶでしょうか？,コリジョン
ネットワーク基礎問題集,第5章　ハードウェア編,異なるセグメント間の橋渡しをしたり、ネットワーク上におけるパケットの流れを制御する中継器をなんと呼ぶでしょうか？,ブリッジ
ネットワーク基礎問題集,第5章　ハードウェア編,アナログ回線を用いて、コンピュータのデジタル信号を伝送する装置をなんと呼ぶでしょうか？,モデム
ネットワーク基礎問題集,第5章　ハードウェア編,1秒間に転送することの出来るビット数を表す単位をなんと呼ぶでしょうか？,bps
ネットワーク基礎問題集,第5章　ハードウェア編,LAN同士や、LANとインターネットといった異なるネットワークを相互に接続する装置をなんと呼ぶでしょうか？,ルータ;ルーター
ネットワーク基礎問題集,第6章　サービス・プロトコル編,Microsoftネットワークにおいて、NetBIOS名とIPアドレスとの対応付けるサービスをなんと呼ぶでしょうか？,WINS
ネットワーク基礎問題集,第6章　サービス・プロトコル編,PPPを拡張してTCP/IPネットワーク上で仮想的なダイアルアップ接続を行うためのプロトコルをなんと呼ぶでしょうか？,PPTP
ネットワーク基礎問題集,第6章　サービス・プロトコル編,LANで利用するプライベートIPアドレスとインターネット上で利用するグローバルIPアドレスとを1対1で相互に変換する技術をなんと呼ぶでしょうか？,NAT
ネットワーク基礎問題集,第6章　サービス・プロトコル編,外部ネットワークへのアクセスを内部ネットワークのコンピュータに代わって行うサーバをなんと呼ぶでしょうか？,プロキシサーバ;プロキシサーバー
ネットワーク基礎問題集,第6章　サービス・プロトコル編,2つのポイント間を接続して、その回線をネットワーク回線として、利用可能とするプロトコルをなんと呼ぶでしょうか？,PPP
ネットワーク基礎問題集,第6章　サービス・プロトコル編,コンピュータ名からIPアドレスを取得するサービスをなんと呼ぶでしょうか？,DNS
ネットワーク基礎問題集,第6章　サービス・プロトコル編,ローカルネットワークとインターネットなどの外部ネットワークとの間に設けるシステムをなんと呼ぶでしょうか？,ファイアウォール
ネットワーク基礎問題集,第6章　サービス・プロトコル編,ルータの持っている機能の一つで、あらかじめ決められたルールに則って通過させるパケットを制御する機能をなんと呼ぶでしょうか？,パケットフィルタリング
ネットワーク基礎問題集,第6章　サービス・プロトコル編,PPPをEthernet上で実現するためのプロトコルをなんと呼ぶでしょうか？,PPPoE
ネットワーク基礎問題集,第6章　サービス・プロトコル編,LANで利用するプライベートIPアドレスとインターネット上で利用するグローバルIPアドレスとを1対複数で相互に変換する技術をなんと呼ぶでしょうか？,IPマスカレード
ネットワーク基礎問題集,第6章　サービス・プロトコル編,ネットワーク内のコンピュータに対して、IPアドレスの割り当てやサブネットマスクの設定といったネットワークに関する設定を自動的に行うサービスをなんと呼ぶでしょうか？,DHCP
ネットワーク基礎問題集,第6章　サービス・プロトコル編,ネットワークサービスを利用するための基本的な入出力を定義したアプリケーションプログラミングインターフェース（API）をなんと呼ぶでしょうか？,NetBIOS
ネットワーク基礎問題集,第6章　サービス・プロトコル編,ネットワークサービスを利用するための基本的な入出力を定義したアプリケーションプログラミングインターフェース（API）を用いたネットワークプロトコルをなんと呼ぶでしょうか？,NetBEUI
ネットワーク基礎問題集,第7章　インターネット編,インターネットに接続したコンピュータ同士で直接メッセージのやりとりを行うサービスをなんと呼ぶでしょうか？,インスタントメッセージ
ネットワーク基礎問題集,第7章　インターネット編,サーバとクライアント間でファイル転送を行うプロトコルをなんと呼ぶでしょうか？,FTP
ネットワーク基礎問題集,第7章　インターネット編,インターネットで標準的に用いられている時刻情報プロトコルをなんと呼ぶでしょうか？,NTP
ネットワーク基礎問題集,第7章　インターネット編,WWW用のドキュメントを記述する言語をなんと呼ぶでしょうか？,HTML
ネットワーク基礎問題集,第7章　インターネット編,インターネットにおいて標準的に用いられているドキュメントシステムをなんと呼ぶでしょうか？,WWW
ネットワーク基礎問題集,第7章　インターネット編,Webサイトを閲覧するために使うアプリケーションソフトのことをなんと呼ぶでしょうか？,WWWブラウザ
ネットワーク基礎問題集,第7章　インターネット編,電子メールの送信用に用いられるプロトコルをなんと呼ぶでしょうか？,SMTP
ネットワーク基礎問題集,第7章　インターネット編,ASCII文字しか扱うことの出来ないインターネットメールで日本語やファイルの添付を可能にする規格をなんと呼ぶでしょうか？,MIME
ネットワーク基礎問題集,第7章　インターネット編,WWWサービスでサーバとのやりとりに使われるプロトコルをなんと呼ぶでしょうか？,HTTP
ネットワーク基礎問題集,第7章　インターネット編,日本におけるグローバルIPアドレスの割り当て業務を行っている組織をなんと呼ぶでしょうか？,JPNIC
ネットワーク基礎問題集,第7章　インターネット編,ネットニュースで用いられるプロトコルをなんと呼ぶでしょうか？,NNTP
ネットワーク基礎問題集,第7章　インターネット編,電子メールの受信用に用いられるプロトコルで、受信したメールを取得するプロトコルをなんと呼ぶでしょうか？,POP
ネットワーク基礎問題集,第7章　インターネット編,TCP/IPを利用して、世界的規模で相互にネットワークを接続したものをなんと呼ぶでしょうか？,インターネット
ネットワーク基礎問題集,第7章　インターネット編,ブラウザとWWWサーバ間において暗黙の情報交換を行うための仕組みをなんと呼ぶでしょうか？,Cookie
ネットワーク基礎問題集,第7章　インターネット編,インターネットにおける電子会議室システムのことをなんと呼ぶでしょうか？,ネットニュース
ネットワーク基礎問題集,第7章　インターネット編,HTMLと同様にタグを使って文書構造を表現し、HTMLと違って、タグを独自に定義することが出来る言語をなんと呼ぶでしょうか？,XML
ネットワーク基礎問題集,第7章　インターネット編,電子メールの受信用に用いられるプロトコルで、サーバ上でメールを管理するプロトコルをなんと呼ぶでしょうか？,IMAP
ネットワーク基礎問題集,第7章　インターネット編,インターネットへの接続先を提供するサービス事業者のことをなんと呼ぶでしょうか？,ISP
ネットワーク基礎問題集,第7章　インターネット編,スクリプト言語の一種で多くのブラウザに実装されているスクリプト言語はなんと呼ぶでしょうか？,JavaScript
ネットワーク基礎問題集,第7章　インターネット編,WWWサービスでサーバとのやりとりに使われるHTTPにSSLによる暗号化通信を追加したプロトコルをなんと呼ぶでしょうか？,HTTPS
ネットワーク基礎問題集,第7章　インターネット編,インターネット上で安全に情報をやりとりするために用いる暗号化プロトコルをなんと呼ぶでしょうか？,SSL
ネットワーク基礎問題集,第7章　インターネット編,インターネット上でファイルの位置を指定するための記述形式、もしくはそれによって記述されたアドレスをなんと呼ぶでしょうか？,URL
ネットワーク基礎問題集,第7章　インターネット編,手紙をコンピュータネットワーク上でやりとりできるようにしたものをなんと呼ぶでしょうか？,電子メール
